,campus_name,year_month,violations,year,month
16,Hostos Community College,2025-08-01,58,2025,August
17,Hostos Community College,2025-07-01,148,2025,July
18,Hostos Community College,2025-06-01,183,2025,June
19,Hostos Community College,2025-05-01,185,2025,May
20,Hostos Community College,2025-04-01,162,2025,April
21,Hostos Community College,2025-03-01,186,2025,March
22,Hostos Community College,2025-02-01,143,2025,February
23,Hostos Community College,2025-01-01,164,2025,January
48,Guttman Community College,2025-08-01,160,2025,August
49,Guttman Community College,2025-07-01,238,2025,July
50,Guttman Community College,2025-06-01,154,2025,June
51,Guttman Community College,2025-05-01,14,2025,May
53,Guttman Community College,2025-03-01,1,2025,March
64,New York City College of Technology,2025-08-01,221,2025,August
65,New York City College of Technology,2025-07-01,835,2025,July
66,New York City College of Technology,2025-06-01,617,2025,June
67,New York City College of Technology,2025-05-01,752,2025,May
68,New York City College of Technology,2025-04-01,817,2025,April
69,New York City College of Technology,2025-03-01,814,2025,March
70,New York City College of Technology,2025-02-01,594,2025,February
71,New York City College of Technology,2025-01-01,734,2025,January
80,School of Labor and Urban Studies,2025-08-01,270,2025,August
81,School of Labor and Urban Studies,2025-07-01,565,2025,July
82,School of Labor and Urban Studies,2025-06-01,414,2025,June
83,School of Labor and Urban Studies,2025-05-01,70,2025,May
85,School of Labor and Urban Studies,2025-03-01,6,2025,March
88,School of Law,2025-08-01,8,2025,August
89,School of Law,2025-07-01,62,2025,July
90,School of Law,2025-06-01,63,2025,June
91,School of Law,2025-05-01,39,2025,May
92,School of Law,2025-04-01,40,2025,April
93,School of Law,2025-03-01,32,2025,March
94,School of Law,2025-02-01,98,2025,February
95,School of Law,2025-01-01,72,2025,January
96,The Graduate School and University Center,2025-08-01,367,2025,August
97,The Graduate School and University Center,2025-07-01,956,2025,July
98,The Graduate School and University Center,2025-06-01,792,2025,June
99,The Graduate School and University Center,2025-05-01,654,2025,May
100,The Graduate School and University Center,2025-04-01,376,2025,April
101,The Graduate School and University Center,2025-03-01,459,2025,March
102,The Graduate School and University Center,2025-02-01,266,2025,February
103,The Graduate School and University Center,2025-01-01,337,2025,January
112,School of Public Health,2025-08-01,699,2025,August
113,School of Public Health,2025-07-01,2429,2025,July
114,School of Public Health,2025-06-01,2490,2025,June
115,School of Public Health,2025-05-01,2702,2025,May
116,School of Public Health,2025-04-01,3134,2025,April
117,School of Public Health,2025-03-01,3234,2025,March
118,School of Public Health,2025-02-01,2166,2025,February
119,School of Public Health,2025-01-01,2722,2025,January
120,School of Journalism,2025-08-01,358,2025,August
121,School of Journalism,2025-07-01,466,2025,July
122,School of Journalism,2025-06-01,282,2025,June
123,School of Journalism,2025-05-01,15,2025,May
136,Baruch College,2025-08-01,272,2025,August
137,Baruch College,2025-07-01,1327,2025,July
138,Baruch College,2025-06-01,1442,2025,June
139,Baruch College,2025-05-01,1729,2025,May
140,Baruch College,2025-04-01,1703,2025,April
141,Baruch College,2025-03-01,1121,2025,March
142,Baruch College,2025-02-01,971,2025,February
143,Baruch College,2025-01-01,1057,2025,January
152,The City College of New York,2025-08-01,630,2025,August
153,The City College of New York,2025-07-01,3726,2025,July
154,The City College of New York,2025-06-01,3670,2025,June
155,The City College of New York,2025-05-01,3095,2025,May
156,The City College of New York,2025-04-01,2714,2025,April
157,The City College of New York,2025-03-01,2680,2025,March
158,The City College of New York,2025-02-01,2138,2025,February
159,The City College of New York,2025-01-01,2258,2025,January
160,School of Medicine,2025-08-01,329,2025,August
161,School of Medicine,2025-07-01,2133,2025,July
162,School of Medicine,2025-06-01,1989,2025,June
163,School of Medicine,2025-05-01,1887,2025,May
164,School of Medicine,2025-04-01,1841,2025,April
165,School of Medicine,2025-03-01,1851,2025,March
166,School of Medicine,2025-02-01,1377,2025,February
167,School of Medicine,2025-01-01,1481,2025,January
168,Hunter College,2025-08-01,234,2025,August
169,Hunter College,2025-07-01,798,2025,July
170,Hunter College,2025-06-01,832,2025,June
171,Hunter College,2025-05-01,1032,2025,May
172,Hunter College,2025-04-01,817,2025,April
173,Hunter College,2025-03-01,757,2025,March
174,Hunter College,2025-02-01,586,2025,February
175,Hunter College,2025-01-01,659,2025,January
184,Lehman College,2025-08-01,480,2025,August
185,Lehman College,2025-07-01,1047,2025,July
186,Lehman College,2025-06-01,1034,2025,June
187,Lehman College,2025-05-01,861,2025,May
188,Lehman College,2025-04-01,919,2025,April
189,Lehman College,2025-03-01,915,2025,March
190,Lehman College,2025-02-01,567,2025,February
191,Lehman College,2025-01-01,724,2025,January
192,Queens College,2025-08-01,9,2025,August
193,Queens College,2025-07-01,133,2025,July
194,Queens College,2025-06-01,189,2025,June
195,Queens College,2025-05-01,293,2025,May
196,Queens College,2025-04-01,318,2025,April
197,Queens College,2025-03-01,355,2025,March
198,Queens College,2025-02-01,370,2025,February
199,Queens College,2025-01-01,268,2025,January
200,York College,2025-08-01,1105,2025,August
201,York College,2025-07-01,3157,2025,July
202,York College,2025-06-01,1921,2025,June
203,York College,2025-05-01,2291,2025,May
204,York College,2025-04-01,2157,2025,April
205,York College,2025-03-01,2239,2025,March
206,York College,2025-02-01,1859,2025,February
207,York College,2025-01-01,2272,2025,January
