,Average Road Speed,Average Road Speed,Average Travel Time,Average Travel Time,Average Travel Time Pct Change
is_ACE,False,True,False,True,
Route ID,,,,,
B26,7.554159577222085,7.774651940654403,8.255852262079545,8.31387986097292,0.7028662462857411
B35,6.636772625756368,6.6810584144802965,10.18837287094323,10.144896950801801,-0.4267209366219809
B41,7.397586245494047,7.464962449501797,10.912633504686607,10.93107741631177,0.16901430454199182
B82+,9.134296781977573,9.025208959891646,41.112104649713466,41.89534197495183,1.9051258307298222
BX28,7.871666696307149,7.807756181234351,9.555146801705757,9.62152043696209,0.6946375250298039
BX35,6.245497217896083,6.18691659101151,5.765888915601024,5.846124185238464,1.3915507359211217
BX36,7.355120452913666,7.215292315684487,14.63035637492772,14.901879100914979,1.8558859335277142
BX38,7.092810101344224,7.06116823233488,8.961482533970639,8.973083884256125,0.12945793557604895
BX5,8.929545609091386,8.90595195171969,6.103368760912429,6.1363209186647865,0.5399011438304688
BX6+,8.032663828435535,8.105597441667275,22.88932143110151,22.85296721338261,-0.1588261051264913
M100,6.988858031499558,6.951081812114563,11.265053363025974,11.30019880027174,0.3119864248590302
M101,7.399101328410308,7.461901564499055,9.867053954037766,9.875568291611962,0.08629057481450024
M2,8.081926931317629,8.11719840598844,12.755095991139196,12.664257398937366,-0.7121749006431222
M4,6.368949859273057,6.505887127436259,10.226442192939214,10.341794257453856,1.127978453682419
M42,5.556180902215978,5.717099464623977,5.995187849295294,5.792106365527489,-3.387408182575575
M60+,11.202696811022722,11.285606502123107,25.177334474366194,25.160972593344155,-0.06498654986173258
M79+,7.188657136110586,7.656829754773651,7.467027898456057,7.383391476923077,-1.1200764570636421
Q5,9.576649259016241,9.307016864754361,4.578048954322615,4.690581864748549,2.458097577127925
Q53+,11.75305594545039,11.674019961731403,23.933148111666174,23.734146472059603,-0.831489608797299
Q54,8.84800684137904,8.686815992023302,7.094221355732484,7.219098953692621,1.7602720819985378
Q58,7.895621778744044,7.807799226670958,11.315375737257249,11.301834365390938,-0.11967231297254764
Q69,7.515659234103959,7.5012377394651315,16.079873430752915,16.041748454533828,-0.23709748949996848
S46,11.833244003588751,11.565723369675842,6.455996624885885,6.574089222093747,1.8291923628437319
