campus_name,month,violations
Borough of Manhattan Community College,January,0
Borough of Manhattan Community College,February,0
Borough of Manhattan Community College,March,0
Borough of Manhattan Community College,April,0
Borough of Manhattan Community College,May,0
Borough of Manhattan Community College,June,0
Borough of Manhattan Community College,July,0
Borough of Manhattan Community College,August,0
Bronx Community College,January,0
Bronx Community College,February,0
Bronx Community College,March,0
Bronx Community College,April,0
Bronx Community College,May,0
Bronx Community College,June,0
Bronx Community College,July,0
Bronx Community College,August,0
Hostos Community College,January,164
Hostos Community College,February,143
Hostos Community College,March,186
Hostos Community College,April,162
Hostos Community College,May,185
Hostos Community College,June,183
Hostos Community College,July,148
Hostos Community College,August,58
Kingsborough Community College,January,0
Kingsborough Community College,February,0
Kingsborough Community College,March,0
Kingsborough Community College,April,0
Kingsborough Community College,May,0
Kingsborough Community College,June,0
Kingsborough Community College,July,0
Kingsborough Community College,August,0
LaGuardia Community College,January,0
LaGuardia Community College,February,0
LaGuardia Community College,March,0
LaGuardia Community College,April,0
LaGuardia Community College,May,0
LaGuardia Community College,June,0
LaGuardia Community College,July,0
LaGuardia Community College,August,0
Queensborough Community College,January,0
Queensborough Community College,February,0
Queensborough Community College,March,0
Queensborough Community College,April,0
Queensborough Community College,May,0
Queensborough Community College,June,0
Queensborough Community College,July,0
Queensborough Community College,August,0
Guttman Community College,January,0
Guttman Community College,February,0
Guttman Community College,March,1
Guttman Community College,April,0
Guttman Community College,May,14
Guttman Community College,June,154
Guttman Community College,July,238
Guttman Community College,August,160
Medgar Evers College,January,0
Medgar Evers College,February,0
Medgar Evers College,March,0
Medgar Evers College,April,0
Medgar Evers College,May,0
Medgar Evers College,June,0
Medgar Evers College,July,0
Medgar Evers College,August,0
New York City College of Technology,January,734
New York City College of Technology,February,594
New York City College of Technology,March,814
New York City College of Technology,April,817
New York City College of Technology,May,752
New York City College of Technology,June,617
New York City College of Technology,July,835
New York City College of Technology,August,221
College of Staten Island,January,0
College of Staten Island,February,0
College of Staten Island,March,0
College of Staten Island,April,0
College of Staten Island,May,0
College of Staten Island,June,0
College of Staten Island,July,0
College of Staten Island,August,0
School of Labor and Urban Studies,January,0
School of Labor and Urban Studies,February,0
School of Labor and Urban Studies,March,6
School of Labor and Urban Studies,April,0
School of Labor and Urban Studies,May,70
School of Labor and Urban Studies,June,414
School of Labor and Urban Studies,July,565
School of Labor and Urban Studies,August,270
School of Law,January,72
School of Law,February,98
School of Law,March,32
School of Law,April,40
School of Law,May,39
School of Law,June,63
School of Law,July,62
School of Law,August,8
The Graduate School and University Center,January,337
The Graduate School and University Center,February,266
The Graduate School and University Center,March,459
The Graduate School and University Center,April,376
The Graduate School and University Center,May,654
The Graduate School and University Center,June,792
The Graduate School and University Center,July,956
The Graduate School and University Center,August,367
School of Professional Studies,January,0
School of Professional Studies,February,0
School of Professional Studies,March,0
School of Professional Studies,April,0
School of Professional Studies,May,0
School of Professional Studies,June,0
School of Professional Studies,July,0
School of Professional Studies,August,0
School of Public Health,January,2722
School of Public Health,February,2166
School of Public Health,March,3234
School of Public Health,April,3134
School of Public Health,May,2702
School of Public Health,June,2490
School of Public Health,July,2429
School of Public Health,August,699
School of Journalism,January,0
School of Journalism,February,0
School of Journalism,March,0
School of Journalism,April,0
School of Journalism,May,15
School of Journalism,June,282
School of Journalism,July,466
School of Journalism,August,358
Macaulay Honors College,January,0
Macaulay Honors College,February,0
Macaulay Honors College,March,0
Macaulay Honors College,April,0
Macaulay Honors College,May,0
Macaulay Honors College,June,0
Macaulay Honors College,July,0
Macaulay Honors College,August,0
Baruch College,January,1057
Baruch College,February,971
Baruch College,March,1121
Baruch College,April,1703
Baruch College,May,1729
Baruch College,June,1442
Baruch College,July,1327
Baruch College,August,272
Brooklyn College,January,0
Brooklyn College,February,0
Brooklyn College,March,0
Brooklyn College,April,0
Brooklyn College,May,0
Brooklyn College,June,0
Brooklyn College,July,0
Brooklyn College,August,0
The City College of New York,January,2258
The City College of New York,February,2138
The City College of New York,March,2680
The City College of New York,April,2714
The City College of New York,May,3095
The City College of New York,June,3670
The City College of New York,July,3726
The City College of New York,August,630
School of Medicine,January,1481
School of Medicine,February,1377
School of Medicine,March,1851
School of Medicine,April,1841
School of Medicine,May,1887
School of Medicine,June,1989
School of Medicine,July,2133
School of Medicine,August,329
Hunter College,January,659
Hunter College,February,586
Hunter College,March,757
Hunter College,April,817
Hunter College,May,1032
Hunter College,June,832
Hunter College,July,798
Hunter College,August,234
John Jay College of Criminal Justice,January,0
John Jay College of Criminal Justice,February,0
John Jay College of Criminal Justice,March,0
John Jay College of Criminal Justice,April,0
John Jay College of Criminal Justice,May,0
John Jay College of Criminal Justice,June,0
John Jay College of Criminal Justice,July,0
John Jay College of Criminal Justice,August,0
Lehman College,January,724
Lehman College,February,567
Lehman College,March,915
Lehman College,April,919
Lehman College,May,861
Lehman College,June,1034
Lehman College,July,1047
Lehman College,August,480
Queens College,January,268
Queens College,February,370
Queens College,March,355
Queens College,April,318
Queens College,May,293
Queens College,June,189
Queens College,July,133
Queens College,August,9
York College,January,2272
York College,February,1859
York College,March,2239
York College,April,2157
York College,May,2291
York College,June,1921
York College,July,3157
York College,August,1105
