campus_name,total_violations
The City College of New York,20911
School of Public Health,19576
York College,17001
School of Medicine,12888
Baruch College,9622
Lehman College,6547
Hunter College,5715
New York City College of Technology,5384
The Graduate School and University Center,4207
Queens College,1935
School of Labor and Urban Studies,1325
Hostos Community College,1229
School of Journalism,1121
Guttman Community College,567
School of Law,414
Borough of Manhattan Community College,0
Bronx Community College,0
College of Staten Island,0
Kingsborough Community College,0
John Jay College of Criminal Justice,0
Brooklyn College,0
Medgar Evers College,0
Queensborough Community College,0
LaGuardia Community College,0
Macaulay Honors College,0
School of Professional Studies,0
